Name,Description,Formula
1,Original,G((p -> F(q))&(r->G(s)))
1a,LLM,G(p -> X(F(q) & (r -> X(G(s)))))
1a,LLM - No Trace,G(p -> F q) & (r -> G s)
1a1,Extracted,G((p -> G((F(q) & (r -> X(G(s)))))))
1a2,Extracted,F((!p -> F((F(q) & (r -> X(G(s)))))))
1b,LLM,G(p -> (F(q) & (r -> G(s))))
1b1,Extracted,G((p -> (F(q) -> (r U G(s)))))
1b2,Extracted,G((p -> (F(q) | (r | G(s)))))
1c,LLM,G((p & r) -> (F(q) & G(s)))
1c1,Extracted,G(((p & r) U (F(q) & G(s))))
1c2,Extracted,G(((p & r) -> (F(!q) & G(s))))
1d,LLM,G(p -> (F(q) & (r -> G(s))))
1d1,Extracted,G((p -> (F(q) & (s | G(!r)))))
1d2,Extracted,G((p -> (F(q) & (s | G(!r)))))
1e,LLM,G(p -> X(F(q) & (r -> X(G(s)))))
1e1,Extracted,G((p -> G((F(q) & (r -> X(G(s)))))))
1e2,Extracted,G((p -> G((F(q) & (r -> X(G(s)))))))
2,Original,F(p & (q -> (r & G(s))))
2a,LLM,F(p & (q -> (r & F(s))))
2a,LLM - No Trace,F p & G(q-> (X r & G s))
2a,Extracted,F((p -> (q -> (r & F(s)))))
2b,LLM,F(p & q) & X(G(r & F(s)))
2b1,Extracted,F(((p -> q) -> X((r & F(s)))))
2b2,Extracted,(F((p & q)) & X(G((r -> F(s)))))
2c,LLM,F(p & (q -> (r & F(s))))
2c,Extracted,F((p & (q U (r & F(s)))))
2d,LLM,F(p) & (q -> X(r & F(s)))
2d1,Extracted,(F(p) & (q -> X((r -> F(s)))))
2d2,Extracted,(F(p) & (q -> X((r | F(s)))))
2e,LLM,F(p & q -> X(r & F(s)))
2e,Extracted,F(((p & q) -> X((r & F(s)))))
2e,LLM alt,F(p) & G(q -> (r & F(s)))
2e1,Extracted alt,(F(!q) | G((!p -> (r & F(s)))))
2e2,Extracted alt,(F(p) | G((!q -> (r & F(s)))))
3,Original,G(g <-> p) & G(b U (!b | a)) & G(a -> X c) & F(¬p) & G(a->p) & G(b->p) & G(c->p) & GFa & GFb & GFc & GF(p & !a & !b & !c) & G(a -> !b) & G(b->!a)
3a,LLM,G(p -> g) & G(g -> p) & F(!p) & G(p-> (a | b | c)) & G(a -> X(c)) & G(!a|!b) & G(b -> X(!a)) & F(!a & !b & !c)
3a,LLM - No Trace,G(p -> g) & G(g -> p) & F(!p) & G(p-> (a | b | c)) & G(a -> X(c)) & G(!a|!b) & G(b -> X(!a)) & F(!a & !b & !c)
3a1,Extracted,G((p -> (g | (b | c)))) & G((g -> p)) & F((a -> X(c)))& G((a -> F(c)))& F((!a & (!b & !c))) & G(F(p)) & G(F(((!b & p) & (!a & !c))))
3a2,Extracted,G((g -> p)) & G(F(!b)) & G((p -> g)) & G((a -> F(c))) & F((!a & (!b & !c)))
4,Original,GF s & GF p & GF q & GF !t & GF !u & G(t -> X!p)& G(u -> X!q)& G(p -> !t)& G(q -> !u)
4a,LLM,(F(s) & F(p) & F(q)) & G(!(p & t) & !(q & u)) & G(F(!t)) & F(!u)
4a,LLM - No Trace,(F s)∧(F p)∧(F q)∧(G(t -> !s))∧(G(u -> !q))∧(G(p -> !t))∧(G(q -> !u))∧(GF¬t)∧(GF¬u)
4a1,Extracted,G((!u | !q)) & G(F(!t)) & G(F(s)) & G(F((p -> !t))) & G(F(q)) & G(F(p))
4a2,Extracted,G(p -> !t) & G(q -> !u) & GFs & GFp &GFq GF!t
5,Original,G((a|b)->X((c)U(d&F(e))))
5a,LLM,G((a | b) -> X(G(c) U (d & F(e))))
5a,LLM - No Trace,G((p∨q)→X(r U (s∧F t)))
5a1,Extracted,G(((a | b) -> F((G(c) | (d & F(e))))))
5a2,Extracted,G(((a | b) -> F((G(c) -> (d & F(e))))))
5b,LLM,G((a | b) -> X(c U (d & F(e))))
5b,Extracted,G(((a & b) -> F((c U (d & F(e))))))
5c,LLM,G((a | b) -> X(c & G(d -> F(e))))
5c,Extracted,G(((b | a) -> F((c & G((d -> F(e)))))))
5d,LLM,G((a | b) -> X(G(c) U (d & F(e))))
5d,Extracted,G(((b | a) -> F((c & G((d -> F(e)))))))
5e,LLM,G((a | b) -> X(c & G(d -> F(e))))
5e1,Extracted,G(((a | b) U G((c U G((d -> F(e)))))))
5e2a,Extracted,G(((a | b) | F((c | F((d -> F(e)))))))
5e2b,Extracted,G(((a | b) -> F((c | G((d -> F(e)))))))
6,Original,G((a|b)->X((c&X(d))U(e)))
6a,LLM,G((a | b) -> F(c & (X(d) U e)))
6a,LLM - No Trace,G((a | b)→X(c&d) U e)
6a1,Extracted,G(((a U b) -> F((c & (X(d) U e)))))
6a2,Extracted,G(((a -> b) | F((c & (X(!d) -> e)))))
6b,LLM,G((a | b) -> X(c & X(d))) U e
6b2,Extracted,(G(((a | b) -> X((!c & X(d))))) U e)
6c,LLM,G((a | b) -> (c U e)) & G((c & !e) -> X(d))
6c2,Extracted,(G(((!a | b) | (c U e))) & G(((c & !e) -> X(d))))
6d,LLM,G((a | b) -> X(c)) & G((c & !e) -> X(d U e))
6d1,Extracted,(G(((a & (!b | !a)) -> X(c))) & F(((c & !b) -> X((d U e)))))
6d2,Extracted,(G(((a & !b) -> X(c))) & X(((c & (e U !c)) -> X((d U e)))))
6e,LLM,G(G((a | b) -> X(c & Xd)) U e)
6e,Extracted,G((G(((a | b) -> X((c & X(d))))) U e))
7,Original,G(f->XG(h))&Fg&G((!h)U(i))&GFj
7,LLM - No Traces,G (f -> X h) & F i & ! (h & ! i) U i & G F j
7a,LLM,G(f → X(h)) & F(g) & (¬h U i) & F(j)
7a1,Extracted,G((!h U i))&G(F(i))& G(F(j))& G(F((i U j)))&G((f -> X(G(h))))
7a2,Extracted,G((!h U i)) & G(F(i)) & G(F(j)) & G(F((i U j))) & ((f -> X(G(h))))
8,Original,G((x&y)->Fz)&G((!x)Uw)&GF(v->X!y)
8,LLM - No Traces,G((x & y) -> F z) & G(!w -> X !x) & G(v -> X !x)
8a,LLM,G(w -> X(x)) & G(v -> X(!x)) & G((x & y) -> F(z))& G(x -> w) & F(z)
8a1,Extracted,G(F((!x U w))) & F((v | X(!x))) & G(((x & y) U G(F(z))))
8a2,Extracted,G(F((!x | w))) & G(F((x & y))) & F(((x U !v) -> F(z)))
9,Original,GF(m)&G(n->X(Fo&G!p))&F(q&X(G(!r)))
9a,LLM,G(Gm & G(n -> X(o & G!p)) & F(q -> XG!r))
9a1,Extracted,G((F(m) & (G((n -> X((o & G(!p))))) | F((q -> X(G(!r)))))))
9a2,Extracted,G((F(m) & (G((n -> X((!o & X(!p))))) -> F((q -> X(G(!r)))))))
9b,LLM,G(m) & G(n -> X(o & G(!p))) & F(q -> X(G(!r)))
9b1,Extracted,(F(m) & (G((n U G((o U G(!p))))) | F((q -> X(G(!r))))))
9b2,Extracted,(F(m) & (G((n & X((o & G(p))))) -> F((q -> X(G(!r))))))
9c,LLM,G(Gm & G(n -> X(o & G!p)) & F(q -> XG!r))
9c1,Extracted,G((F(m) & (G((n -> F((o & G(!p))))) & F((q -> F(G(!r)))))))
9c2,Extracted,G((F(m) & (G((n -> G((o & G(!p))))) -> F((q -> F(G(!r)))))))
9d,LLM,G(Gm & G(n -> X(o & G!p)) & F(q -> XG!r))
9d1,Extracted,F((G(m) & (G((n & X((o & F(!p))))) & F((q -> X(G(!r)))))))
9d2,Extracted,F((G(m) & (G((n | X((o & F(!p))))) & F((q -> X(G(!r)))))))
9e,LLM,G(m) & G(n -> X(o & G(!p))) & F(q -> X(G(!r)))
9e1,Extracted,(G(m) | (G((n -> X((o U G(!p))))) & F((q -> X(G(!r))))))
9f,LLM,G((m & !n & !q) | (n -> X(o & G(!p))) | (q -> X(G(!r))))
9f1,Extracted,G(((m & (!n & r)) | ((n -> X((o & G(p)))) | (q -> F(G(!r))))))
9f2,Extracted,G(((m & (!n & X(!q))) | ((n -> X((o & G(!p)))) | (q -> F(G(!r))))))
10,Original,G((p|(q&r))->X((s)U(t&u)))
10a,LLM,G((p | (q & r)) ->  (X(s) & F(t & u)))
10a,LLM - No Trace,G ((p | (q & r)) -> X (s U (t & u)))
10a1,Extracted,G(((p | (q & r)) -> (F(s) & F((t & u)))))
10a2,Extracted,G(((p | (q & r)) -> (F(s) & F((t & u)))))
10b,LLM,G((p | (q & r)) -> (X(s) U (t & u)))
10b,Extracted,F(((p | (q & r)) -> (X(s) | (t & u))))
10c,LLM,G((p | (q & r)) -> F(s)) U G(t & u)
10c,Extracted,(G(((p | (q U r)) -> F(s))) | G((t & u)))
10d,LLM,G((p | (q & r)) -> (X(s) U (t & u)))
10d1,Extracted,F(((p | (q & r)) -> (X(s) U (t -> u))))
10d2,Extracted,F(((p | (q & r)) -> (X(s) U (t | u))))
10e,LLM,G((p | (q & r)) -> X(F(s) U (t & u)))
10e1,Extracted,G((G(((p | (q & r)) -> F(s))) U G((t & u))))
